,variant,n_variables,depth,total_fidelity,compilation_time,n_1q_gate,n_2q_gate,execution_time
0,a,20,1,0.012288542502440134,2.288480043411255,578,519,0.13107819999999906
1,b,20,1,0.013272676627879502,2.675348997116089,535,494,0.1274717999999991
2,c,20,1,0.010644523364151445,3.0448544025421143,583,508,0.1280766999999991
3,d,20,1,0.009424214180105736,2.9167215824127197,616,556,0.14220109999999886
4,e,20,1,0.011123010137898638,2.889699697494507,563,503,0.13197979999999904
5,f,20,1,0.012805562873016442,2.2743592262268066,547,492,0.12537039999999916
6,g,20,1,0.019292680251928138,2.836336851119995,550,495,0.1286750999999991
7,h,20,1,0.011712328562136528,2.880347490310669,570,519,0.13077949999999905
8,i,20,1,0.009932692267202257,2.2628679275512695,575,504,0.12777799999999911
9,j,20,1,0.005765546215376022,3.1443545818328857,577,532,0.1401001999999989
10,a,50,1,1.1852709604157458e-07,7.874579668045044,1688,1593,0.3938370000000077
11,b,50,1,1.0068070363787886e-07,7.692914009094238,1809,1667,0.4007511000000082
12,c,50,1,1.6477032192263467e-07,7.640028715133667,1804,1660,0.39383950000000767
13,d,50,1,7.577402437128733e-08,8.304688215255737,1790,1649,0.40375960000000843
14,e,50,1,6.34042022176977e-08,8.257410287857056,1818,1655,0.3839219000000069
15,f,50,1,1.1849075244379755e-07,7.770055294036865,1748,1607,0.37460520000000624
16,g,50,1,4.609020994804618e-08,8.366255521774292,1802,1654,0.40826610000000874
17,h,50,1,4.5574959496850164e-08,7.821147918701172,1816,1656,0.4142841000000092
18,i,50,1,3.5573913220211255e-08,7.963467121124268,1821,1676,0.40136150000000825
19,j,50,1,6.038733045960715e-08,7.438512325286865,1795,1636,0.39234550000000756
20,a,75,1,1.6817323835917926e-12,11.910211324691772,2829,2613,0.6148200000000031
21,b,75,1,2.2614177520629285e-12,12.64466667175293,2793,2598,0.5817440000000068
22,c,75,1,1.0672133726583734e-12,13.104178190231323,2872,2650,0.6003944000000048
23,d,75,1,1.462897805666786e-12,14.1476309299469,2880,2661,0.6178255000000028
24,e,75,1,8.950307647314799e-12,12.470323324203491,2763,2588,0.588657100000006
25,f,75,1,1.7416275030277108e-12,14.271685361862183,2898,2663,0.5922795000000056
26,g,75,1,4.63019440665373e-12,13.897136688232422,2788,2579,0.6042935000000043
27,h,75,1,3.3311093303071298e-12,12.845410585403442,2809,2591,0.5934713000000055
28,i,75,1,9.696469304522988e-12,12.294479608535767,2772,2545,0.5724343000000078
